running
packageJobJar: [union.sh, env.sh] [/home/wdmlink/dingrui01/hadoop_folder/hadoop-client-bailing/hadoop/contrib/streaming/hadoop-2-streaming.jar] /tmp/streamjob61159.jar tmpDir=null
13/12/10 16:45:45 INFO util.NativeCodeLoader: Loaded the native-hadoop library
13/12/10 16:45:45 INFO compress.LzoCodec: Successfully loaded & initialized native-lzo library
13/12/10 16:45:45 INFO compress.LzmaCodec: Successfully loaded & initialized native-lzma library
13/12/10 16:45:45 INFO compress.QuickLzCodec: Successfully loaded & initialized native-quicklz library
13/12/10 16:46:04 INFO mapred.FileInputFormat: Total input paths to process : 56000
13/12/10 17:01:52 INFO mapred.JobClient: splits size : 289026
13/12/10 17:01:53 INFO mapred.JobClient: Running job: job_201303151821_3381090
13/12/10 17:01:53 INFO mapred.JobClient: To kill this job, run:
13/12/10 17:01:53 INFO mapred.JobClient: /home/wdmlink/dingrui01/hadoop_folder/hadoop-client-bailing/hadoop/bin/../bin/hadoop job -Dmapred.job.tracker=nj01-rp-job.dmop.baidu.com:54311 -kill job_201303151821_3381090
13/12/10 17:01:53 INFO mapred.JobClient: Tracking URL: http://nj01-rp-job.dmop.baidu.com:8030/jobdetails.jsp?jobid=job_201303151821_3381090
13/12/10 21:37:36 INFO mapred.JobClient:  map 70% reduce 1%
13/12/10 21:41:03 INFO mapred.JobClient:  map 71% reduce 1%
13/12/10 21:45:26 INFO mapred.JobClient:  map 72% reduce 1%
13/12/10 21:51:57 INFO mapred.JobClient:  map 73% reduce 1%
13/12/10 21:57:30 INFO mapred.JobClient:  map 74% reduce 1%
13/12/10 22:01:49 INFO mapred.JobClient:  map 75% reduce 1%
13/12/10 22:05:18 INFO mapred.JobClient:  map 76% reduce 1%
13/12/10 22:08:18 INFO mapred.JobClient:  map 77% reduce 1%
13/12/10 22:11:07 INFO mapred.JobClient:  map 78% reduce 1%
13/12/10 22:13:37 INFO mapred.JobClient:  map 79% reduce 1%
13/12/10 22:15:59 INFO mapred.JobClient:  map 80% reduce 1%
13/12/10 22:18:11 INFO mapred.JobClient:  map 81% reduce 1%
13/12/10 22:20:26 INFO mapred.JobClient:  map 82% reduce 1%
13/12/10 22:22:44 INFO mapred.JobClient:  map 83% reduce 1%
13/12/10 22:25:03 INFO mapred.JobClient:  map 84% reduce 1%
13/12/10 22:27:20 INFO mapred.JobClient:  map 85% reduce 1%
13/12/10 22:29:44 INFO mapred.JobClient:  map 86% reduce 1%
13/12/10 22:32:12 INFO mapred.JobClient:  map 87% reduce 1%
13/12/10 22:34:38 INFO mapred.JobClient:  map 88% reduce 1%
13/12/10 22:36:50 INFO mapred.JobClient:  map 89% reduce 1%
13/12/10 22:39:09 INFO mapred.JobClient:  map 90% reduce 1%
